,cod_pessoa,cpf,genero,nome,data_nascimento,cor_da_pele,data_criacao,data_alteracao
247,c1514e37,347.792.217-10,F,Simone Lorena Soares,1962-06-22,Parda,2026-07-15,2026-07-15
248,6ba479f4,330.140.535-36,M,Vitor Campos,1984-05-03,Parda,2026-07-15,2026-07-15
249,7f762670,565.621.487-51,M,Sérgio Ricardo Valdir Nascimento,1991-03-26,Amarela,2026-07-15,2026-07-15
250,ad1dc1ef,501.576.482-61,M,Diego Diego Paulo Machado,2000-07-24,Branca,2026-07-15,2026-07-15
251,7832cb68,784.475.869-42,U,Mika Lopes,1991-12-28,Amarela,2026-07-15,2026-07-15
252,c88f1b8d,756.464.261-59,U,Tay Freire,1996-01-21,Parda,2026-07-15,2026-07-15
253,c72ef8c5,844.593.900-31,F,Letícia Karen Flávia Reis,1981-10-08,Parda,2026-07-15,2026-07-15
254,35845aff,755.884.286-75,U,Isa Martins,1973-06-15,Parda,2026-07-15,2026-07-15
255,7a5034d6,583.621.315-35,U,Jade Lori Noel Azevedo,1991-11-19,Branca,2026-07-15,2026-07-15
256,f169683e,893.474.819-67,F,Natália Cristiane Lorena Duarte,1987-03-12,Amarela,2026-07-15,2026-07-15
257,a587486e,509.466.319-34,M,César Sérgio Martins,1983-09-15,Preta,2026-07-15,2026-07-15
258,1e657c7b,552.328.517-35,M,Elias Mendes,1975-08-01,Branca,2026-07-15,2026-07-15
259,f388a9b8,365.677.664-26,U,Eli Isa Santos,1984-07-14,Preta,2026-07-15,2026-07-15
260,3a1572cc,761.315.179-23,M,Marcelo Pedro Nascimento,1976-05-18,Amarela,2026-07-15,2026-07-15
261,4d5e252e,739.242.326-27,M,Adriano Carvalho,1960-03-02,Branca,2026-07-15,2026-07-15
262,3f21a6ac,306.458.759-89,M,Felipe Almeida,1994-11-23,Amarela,2026-07-15,2026-07-15
263,a638b4b0,334.786.892-89,F,Ana Cláudia Letícia Araújo,1961-12-12,Amarela,2026-07-15,2026-07-15
264,e6aa7c69,534.400.643-12,U,Ryan Ari Moura,1975-09-03,Preta,2026-07-15,2026-07-15
265,a79b76cb,196.774.313-53,F,Yasmin Maria Gabriela Pereira,1999-08-19,Amarela,2026-07-15,2026-07-15
266,b8a9d721,191.376.178-89,M,Daniel Freitas,1974-07-19,Preta,2026-07-15,2026-07-15
267,1d9305e2,127.823.856-34,U,Andy Jaci Campos,1971-07-21,Amarela,2026-07-15,2026-07-15
268,ff079788,876.239.621-10,M,Leonardo Vitor Leonardo Soares,1980-03-29,Branca,2026-07-15,2026-07-15
269,ed4939ed,304.769.580-64,F,Aline Karen Isabela Lopes,1985-08-20,Parda,2026-07-15,2026-07-15
270,e0e8c2a1,116.813.749-63,M,Cristiano Leite,1996-10-01,Parda,2026-07-15,2026-07-15
271,4efc4a1c,688.187.527-90,M,Ricardo Ricardo Coelho,1967-06-08,Preta,2026-07-15,2026-07-15
272,c1b30594,242.327.312-45,F,Priscila Paula Paula Coelho,1979-03-18,Parda,2026-07-15,2026-07-15
273,0368cd9d,674.172.656-74,U,Ayo Luca Ryan Freitas,1991-02-04,Branca,2026-07-15,2026-07-15
274,6601ea7f,740.534.310-74,U,Tony Tony Acyr Martins,1986-08-13,Preta,2026-07-15,2026-07-15
275,0b78e4bc,444.314.416-41,M,Daniel Leonardo Mendes,1982-12-06,Amarela,2026-07-15,2026-07-15
276,01974f0f,623.108.129-96,F,Beatriz Ingrid Vieira,1995-09-22,Parda,2026-07-15,2026-07-15
277,c3ca7484,460.818.845-39,F,Bruna Pereira,2002-12-14,Amarela,2026-07-15,2026-07-15
278,181424e8,459.170.627-93,U,Noa Mika Val Vieira,1974-06-20,Branca,2026-07-15,2026-07-15
279,02a900d3,610.123.874-77,F,Flávia Jéssica Elaine Barbosa,1999-01-28,Preta,2026-07-15,2026-07-15
280,3d657bb9,378.414.466-59,F,Helena Cardoso,1970-01-03,Preta,2026-07-15,2026-07-15
281,45c95088,113.173.357-63,U,Kai Eli Lua Correia,1992-12-13,Parda,2026-07-15,2026-07-15
282,7a880796,710.166.793-98,U,Mari Yuri Dias,1997-10-05,Amarela,2026-07-15,2026-07-15
283,6ef9ace3,242.843.447-79,M,Gabriel Matheus Marcelo Machado,1994-10-15,Branca,2026-07-15,2026-07-15
284,7a5bc5c2,181.585.495-78,M,Mário Pinto,1979-12-13,Preta,2026-07-15,2026-07-15
285,2d4fce37,384.635.282-62,M,Roberto Peixoto,1967-07-09,Preta,2026-07-15,2026-07-15
286,4c309170,247.451.446-63,F,Isabela Tatiane Beatriz Fernandes,1995-09-17,Amarela,2026-07-15,2026-07-15
287,fb5ef791,350.223.744-29,M,Ricardo Azevedo,1995-01-16,Parda,2026-07-15,2026-07-15
288,df28e3f0,725.420.118-54,U,Sam Ciel Fran Rodrigues,1999-09-12,Amarela,2026-07-15,2026-07-15
289,c3ea8c00,274.583.540-71,F,Michele Fernanda Evelyn Reis,1984-09-26,Parda,2026-07-15,2026-07-15
290,ac26f56f,581.866.289-19,M,Pedro Araújo,1996-07-10,Preta,2026-07-15,2026-07-15
291,d23b944f,119.425.427-17,M,Igor Danilo Oliveira,1990-08-15,Parda,2026-07-15,2026-07-15
292,fa0bd1c8,873.522.726-66,F,Luciana Cavalcanti,1966-08-30,Parda,2026-07-15,2026-07-15
293,ae974f25,466.488.315-50,U,Beni Sol Campos,1978-08-30,Parda,2026-07-15,2026-07-15
294,2a9b3aaa,341.101.200-77,U,Yves Val Rene Ribeiro,1964-08-28,Parda,2026-07-15,2026-07-15
295,f248f0c6,849.502.604-65,U,Ayo Ryan Teixeira,1981-07-06,Amarela,2026-07-15,2026-07-15
296,689d5890,373.745.777-40,F,Zilda Amanda Juliana Pereira,1995-11-08,Preta,2026-07-15,2026-07-15
297,cbc45b65,581.392.697-65,F,Carla Patrícia Gomes,1989-04-29,Amarela,2026-07-15,2026-07-15
298,aee51992,453.774.652-64,M,Gustavo Valdir Rodrigues,1972-05-06,Amarela,2026-07-15,2026-07-15
299,a040e169,831.383.797-43,F,Jéssica Beatriz Tainá Farias,1992-04-13,Branca,2026-07-15,2026-07-15
300,a1c09062,274.199.791-49,F,Elaine Martins,1980-12-25,Amarela,2026-07-15,2026-07-15
301,ac2c30bf,120.534.843-51,F,Fernanda Mendes,1963-04-08,Preta,2026-07-15,2026-07-15
302,3110a49a,277.583.402-22,F,Larissa Tainá Monteiro,1996-04-19,Amarela,2026-07-15,2026-07-15
303,28d91408,401.284.804-97,U,Jo Gabi Cardoso,1990-07-12,Branca,2026-07-15,2026-07-15
304,e7bfff87,334.451.503-86,F,Ana Sabrina Freitas,1966-09-25,Parda,2026-07-15,2026-07-15
305,f908fea2,646.406.514-74,U,Noa Fran Jaci Alves,1991-01-02,Preta,2026-07-15,2026-07-15
306,60c38ae4,520.761.443-10,F,Fabiana Elaine Reis,1999-11-26,Preta,2026-07-15,2026-07-15
307,550393a0,844.779.619-42,U,Isa Ciel Mari Cardoso,1988-10-10,Amarela,2026-07-15,2026-07-15
308,750687ab,257.783.679-78,M,Samuel Correia,1988-11-06,Amarela,2026-07-15,2026-07-15
309,ada44e5b,828.228.723-44,M,Felipe Gustavo Ribeiro,1965-06-09,Amarela,2026-07-15,2026-07-15
310,e224a8c6,779.338.335-99,F,Beatriz Jaqueline Martins,1972-04-11,Preta,2026-07-15,2026-07-15
311,70bfbcda,779.416.871-81,M,Adriano Igor Machado,1976-03-20,Parda,2026-07-15,2026-07-15
312,2f730975,273.586.542-97,M,Diego Lima,1968-05-12,Branca,2026-07-15,2026-07-15
313,f7817da3,795.228.779-78,F,Tainá Cristiane Freitas,1972-02-27,Preta,2026-07-15,2026-07-15
314,43cbe6fa,313.316.399-40,U,Dani Dani Duarte,1966-12-17,Parda,2026-07-15,2026-07-15
315,bed1ac6c,609.845.562-10,M,Leonardo Alves,1967-11-23,Amarela,2026-07-15,2026-07-15
316,156584a6,727.148.325-59,M,Wesley Teixeira,1982-05-02,Parda,2026-07-15,2026-07-15
317,61ad9ad0,243.741.501-17,M,Rogério Fernando Márcio Freire,1975-12-10,Branca,2026-07-15,2026-07-15
318,a19a556a,829.404.108-80,F,Cláudia Ana Beatriz Batista,1973-06-16,Amarela,2026-07-15,2026-07-15
319,42324ca9,122.891.802-57,M,Henrique Márcio Otávio Dias,2000-12-11,Preta,2026-07-15,2026-07-15
320,822c1444,382.310.212-71,M,Marcos Rodrigo Rodrigues,1998-05-14,Parda,2026-07-15,2026-07-15
321,50987e86,392.882.755-26,F,Eduarda Martins,1983-10-05,Parda,2026-07-15,2026-07-15
322,c8305100,491.400.391-90,F,Evelyn Ramos,1968-09-22,Preta,2026-07-15,2026-07-15
323,e19efa7a,389.519.167-99,U,Val Cardoso,2001-09-12,Parda,2026-07-15,2026-07-15
324,a5d658b7,204.353.260-30,U,Dani Sol Ariel Freitas,2001-03-28,Preta,2026-07-15,2026-07-15
325,37354f22,377.636.508-77,M,Elias Wesley Martins,1973-03-07,Parda,2026-07-15,2026-07-15
326,27c530c5,463.830.502-43,F,Luciana Freire,1971-02-08,Preta,2026-07-15,2026-07-15
327,bc297930,251.133.527-41,F,Débora Juliana Bianca Santos,1972-10-09,Preta,2026-07-15,2026-07-15
328,61fab6f7,459.799.899-32,U,Rene Rene Campos,1970-06-14,Parda,2026-07-15,2026-07-15
329,62bfa0d9,192.637.177-84,F,Paula Aline Farias,1979-03-02,Parda,2026-07-15,2026-07-15
330,61daa1b1,776.514.382-64,U,Jade Mika Teixeira,1979-11-01,Parda,2026-07-15,2026-07-15
331,e65a52f4,772.617.860-19,M,Eduardo Marcos Campos,1982-05-23,Preta,2026-07-15,2026-07-15
332,ddaa1bf9,356.178.731-53,M,Gilberto Wesley Cardoso,1983-05-28,Parda,2026-07-15,2026-07-15
333,0a18e760,860.385.374-68,F,Priscila Luciana Ana Araújo,1972-02-23,Preta,2026-07-15,2026-07-15
334,7bc42b05,594.571.439-51,U,Lua Isa Oliveira,1996-12-09,Amarela,2026-07-15,2026-07-15
335,d3f6ba2b,798.388.883-30,F,Juliana Moura,1978-09-07,Preta,2026-07-15,2026-07-15
336,91a6c884,463.473.108-54,F,Fernanda Maria Nascimento,1975-02-25,Preta,2026-07-15,2026-07-15
337,852032b7,226.181.231-87,F,Beatriz Beatriz Gabriela Almeida,1995-05-21,Parda,2026-07-15,2026-07-15
338,5dff7cb7,620.475.435-68,M,José Elias Lucas Sales,1971-03-10,Preta,2026-07-15,2026-07-15
339,6c4f0c4c,558.267.600-25,F,Larissa Bruna Débora Correia,2002-01-13,Parda,2026-07-15,2026-07-15
340,5299bf69,531.133.813-94,F,Helena Paula Freitas,1967-09-15,Amarela,2026-07-15,2026-07-15
341,f399f8e1,301.885.554-57,M,Samuel Jorge Borges,1997-03-30,Branca,2026-07-15,2026-07-15
342,6ee48559,302.757.830-19,M,Sérgio Batista,1967-09-13,Amarela,2026-07-15,2026-07-15
343,b79b3054,606.673.802-60,U,Sacha Joade Yves Oliveira,1999-03-06,Branca,2026-07-15,2026-07-15
344,38daf3c5,200.566.540-45,F,Luciana Elaine Cardoso,2000-08-10,Amarela,2026-07-15,2026-07-15
345,3a2ae0cf,343.838.410-51,F,Débora Lima,1992-04-19,Parda,2026-07-15,2026-07-15
346,7ad06864,281.715.201-23,M,Daniel Fernandes,1990-06-01,Parda,2026-07-15,2026-07-15
347,ba285e29,114.834.784-54,M,Renato Borges,1981-10-10,Amarela,2026-07-15,2026-07-15
348,7704f92c,708.488.104-86,F,Camila Moura,1987-08-16,Amarela,2026-07-15,2026-07-15
349,39ac8368,197.279.740-82,M,José Cláudio Correia,1960-07-10,Preta,2026-07-15,2026-07-15
350,a84540d1,894.864.125-30,M,Carlos Rogério Danilo Peixoto,1985-01-09,Amarela,2026-07-15,2026-07-15
351,52b7221f,251.682.720-91,F,Juliana Zilda Geovana Azevedo,1966-09-22,Preta,2026-07-15,2026-07-15
352,ec76034b,264.556.891-62,U,Eli Sacha Farias,1968-12-26,Preta,2026-07-15,2026-07-15
353,5a5bf759,463.394.591-25,U,Beni Cavalcanti,1988-05-09,Amarela,2026-07-15,2026-07-15
354,e75bb09b,197.832.304-29,U,Ayo Beni Beni Castro,1992-03-27,Preta,2026-07-15,2026-07-15
355,5e91ed7b,450.674.626-80,F,Tainá Débora Martins,1980-08-25,Branca,2026-07-15,2026-07-15
356,0a32f97a,773.494.447-60,F,Bianca Simone Pinto,1987-01-29,Amarela,2026-07-15,2026-07-15
357,cb8ec133,300.844.686-81,F,Jaqueline Raquel Carla Araújo,1984-02-02,Branca,2026-07-15,2026-07-15
358,1aaa9d3a,124.382.428-41,F,Priscila Sabrina Isabela Ribeiro,2002-05-25,Amarela,2026-07-15,2026-07-15
359,37166503,768.862.609-50,M,Márcio Sérgio Ramos,1987-02-28,Branca,2026-07-15,2026-07-15
360,ac93bdcc,348.356.734-66,M,Márcio Santos,1968-06-07,Parda,2026-07-15,2026-07-15
361,021c675d,164.210.603-11,M,Daniel Bruno Danilo Ribeiro,1969-06-29,Branca,2026-07-15,2026-07-15
362,57221ec9,889.412.293-84,U,Jan Beni Azevedo,1971-11-04,Amarela,2026-07-15,2026-07-15
363,cb024512,777.188.382-57,U,Andy Noa Dani Nascimento,1980-06-10,Branca,2026-07-15,2026-07-15
364,b115a948,167.298.186-66,F,Daniela Camila Machado,1969-11-03,Branca,2026-07-15,2026-07-15
365,27b89cb3,119.507.464-68,F,Jéssica Lorena Barbosa,1969-10-30,Preta,2026-07-15,2026-07-15
366,c1f9936a,827.208.507-92,F,Karen Zilda Peixoto,1999-05-20,Amarela,2026-07-15,2026-07-15
367,442d941c,258.382.662-67,U,Nani Almeida,1983-09-06,Amarela,2026-07-15,2026-07-15
368,1dfcd096,623.253.137-97,M,Bruno Elias Vieira,1981-06-09,Branca,2026-07-15,2026-07-15
369,aefc1727,811.816.749-24,M,Sérgio Vinícius Bruno Duarte,1965-01-04,Branca,2026-07-15,2026-07-15
370,86c78a9c,488.172.241-77,M,Valdir Sales,2001-03-13,Amarela,2026-07-15,2026-07-15
371,ede49010,169.866.769-19,U,Acyr Ari Ciel Souza,1963-10-23,Preta,2026-07-15,2026-07-15
372,e98ae001,441.802.183-87,F,Geovana Cristiane Cristiane Barbosa,1997-06-03,Branca,2026-07-15,2026-07-15
373,c49ff99c,593.170.734-47,F,Zilda Larissa Lorena Barbosa,1984-02-16,Preta,2026-07-15,2026-07-15
374,8111bc07,352.898.696-96,U,Sacha Azevedo,1991-08-28,Parda,2026-07-15,2026-07-15
375,487a1dd7,623.149.558-69,F,Ingrid Aline Evelyn Cavalcanti,1985-05-08,Amarela,2026-07-15,2026-07-15
376,d3724835,781.834.857-81,F,Sabrina Carla Dias,1969-12-29,Preta,2026-07-15,2026-07-15
377,39c14020,251.432.143-35,F,Renata Cláudia Oliveira,1976-12-24,Branca,2026-07-15,2026-07-15
378,92d7f939,469.800.350-58,U,Lua Cadu Rodrigues,1965-03-22,Parda,2026-07-15,2026-07-15
379,ca496ce9,487.669.218-65,M,Wesley Nogueira,1983-05-06,Preta,2026-07-15,2026-07-15
380,68f3c4e5,392.217.724-55,F,Débora Geovana Lima,1999-03-16,Branca,2026-07-15,2026-07-15
381,3f491b77,252.297.747-72,M,Fernando Vitor Vinícius Peixoto,1970-12-09,Branca,2026-07-15,2026-07-15
382,0b454108,778.816.437-15,U,Isa Ryan Coelho,1966-09-18,Branca,2026-07-15,2026-07-15
383,895b017c,756.468.872-70,U,Jan Ayo Dias,1968-06-19,Amarela,2026-07-15,2026-07-15
384,c05e9193,710.417.519-77,U,Yuri Lima,1984-09-24,Amarela,2026-07-15,2026-07-15
385,b45a5518,198.249.288-69,M,João Pedro Pereira,1974-01-08,Parda,2026-07-15,2026-07-15
386,45311142,150.523.855-19,U,Duda Dias,1982-02-24,Amarela,2026-07-15,2026-07-15
387,5c3125ab,835.488.809-83,F,Maria Monteiro,1994-03-29,Parda,2026-07-15,2026-07-15
388,c4e439b4,715.782.616-45,F,Mariana Nayara Moura,2001-11-01,Branca,2026-07-15,2026-07-15
389,c968ac92,634.156.221-81,U,Andy Andy Machado,1984-04-13,Preta,2026-07-15,2026-07-15
390,57be6156,421.884.341-44,F,Tatiane Sabrina Tatiane Ferreira,1963-07-23,Preta,2026-07-15,2026-07-15
391,dfcb9913,387.605.582-33,M,Vitor Moreira,1999-04-26,Parda,2026-07-15,2026-07-15
392,fa853203,451.337.604-22,U,Nani Fran Nani Pinto,1972-01-23,Amarela,2026-07-15,2026-07-15
393,19a61dd4,847.875.296-78,U,Rene Yves Nascimento,1968-07-09,Preta,2026-07-15,2026-07-15
394,81d23653,632.457.734-21,M,João Marcos Rogério Coelho,1988-04-12,Preta,2026-07-15,2026-07-15
395,144b8638,663.126.233-89,F,Gabriela Peixoto,1982-09-01,Branca,2026-07-15,2026-07-15
396,4bc76ae2,239.151.734-41,U,Rael Zion Farias,1971-10-29,Branca,2026-07-15,2026-07-15
397,7e1de19d,865.872.452-59,M,Leonardo Alexandre Leandro Coelho,1999-04-17,Amarela,2026-07-15,2026-07-15
398,99703673,899.298.207-49,U,Cadu Alex Barbosa,1960-11-09,Parda,2026-07-15,2026-07-15
399,e0d2a5f3,786.658.581-10,U,Cris Acyr Ferreira,1977-05-28,Amarela,2026-07-15,2026-07-15
400,cbcf13d1,666.650.219-25,M,Rogério Reis,1997-08-13,Preta,2026-07-15,2026-07-15
401,707eb8c4,669.235.520-79,M,Felipe Moura,1987-08-27,Branca,2026-07-15,2026-07-15
402,3bbee28f,597.265.744-72,M,Marcos Marcos Farias,1998-09-11,Branca,2026-07-15,2026-07-15
403,869af07c,700.667.536-25,U,Noa Peixoto,2000-01-06,Branca,2026-07-15,2026-07-15
404,7b748fb3,649.247.563-65,M,Vinícius Vitor Thiago Cardoso,1999-08-25,Amarela,2026-07-15,2026-07-15
405,5579cd59,804.356.660-14,F,Jaqueline Isabela Patrícia Araújo,2002-10-23,Branca,2026-07-15,2026-07-15
406,9d52d8ea,154.284.564-86,U,Fran Yuri Soares,1998-11-03,Preta,2026-07-15,2026-07-15
407,a426a28e,346.466.595-32,M,Pedro Coelho,1999-09-22,Amarela,2026-07-15,2026-07-15
408,346c1416,209.623.280-39,F,Daniela Rocha,1993-03-17,Amarela,2026-07-15,2026-07-15
409,d8edbef1,783.263.111-41,M,Diego Ribeiro,1973-08-24,Preta,2026-07-15,2026-07-15
410,8377537d,822.566.886-92,M,Rafael Roberto Sérgio Reis,1978-06-25,Amarela,2026-07-15,2026-07-15
411,425b1d3d,174.435.373-48,M,Fábio Valdir Matheus Ferreira,1976-03-22,Branca,2026-07-15,2026-07-15
412,6a1fc118,754.159.208-72,M,Adriano Fábio Martins,1968-10-24,Parda,2026-07-15,2026-07-15
413,1b22a402,427.821.276-33,U,Zion Jo Nogueira,2001-05-20,Branca,2026-07-15,2026-07-15
414,ae76cc5c,662.726.432-45,M,Cláudio Fernando Farias,1996-10-06,Amarela,2026-07-15,2026-07-15
415,5e4299db,829.368.375-61,U,Val Oliveira,1961-10-07,Preta,2026-07-15,2026-07-15
416,bcba3e26,141.490.626-30,U,Tay Lima,1991-05-27,Amarela,2026-07-15,2026-07-15
417,52b3375c,268.839.320-66,F,Nayara Aline Sales,1986-07-05,Preta,2026-07-15,2026-07-15
418,52368d16,320.353.898-77,M,Lucas Alexandre Soares,1998-11-14,Parda,2026-07-15,2026-07-15
419,8ab9f2bc,573.837.611-75,F,Gabriela Elaine Freire,1979-02-05,Amarela,2026-07-15,2026-07-15
420,53648c48,569.822.387-85,M,Sérgio Jorge Barbosa,1960-05-17,Branca,2026-07-15,2026-07-15
421,851a68ad,879.610.565-98,M,Fábio Gilberto Caio Sales,1970-12-27,Amarela,2026-07-15,2026-07-15
422,68e2651b,119.549.602-53,U,Sam Ribeiro,1962-09-09,Parda,2026-07-15,2026-07-15
423,4049e911,749.246.375-63,F,Ana Gabriela Raquel Araújo,1982-07-18,Branca,2026-07-15,2026-07-15
424,931dc457,399.750.897-87,F,Flávia Patrícia Michele Teixeira,1987-07-25,Preta,2026-07-15,2026-07-15
425,20f9eb9c,762.245.498-36,U,Sam Ayo Val Dias,1967-11-29,Branca,2026-07-15,2026-07-15
426,4488f7f9,425.817.269-29,F,Isabela Isabela Larissa Santos,1968-03-30,Amarela,2026-07-15,2026-07-15
427,e1e17a72,766.470.714-87,U,Ariel Vieira,1978-02-22,Preta,2026-07-15,2026-07-15
428,f1fe5dda,523.263.388-12,U,Yves Kim Reis,1975-06-13,Parda,2026-07-15,2026-07-15
429,f5382c0b,880.130.569-23,M,Henrique Gilberto Wesley Peixoto,1970-10-29,Parda,2026-07-15,2026-07-15
430,8744a5b5,351.293.593-91,M,Cristiano Lopes,1978-08-14,Amarela,2026-07-15,2026-07-15
431,de084e17,872.616.216-73,U,Ryan Noa Lori Rocha,2002-02-13,Preta,2026-07-15,2026-07-15
432,c6934f84,394.353.892-56,F,Bruna Gomes,1991-08-30,Preta,2026-07-15,2026-07-15
433,6d112a2e,658.270.678-22,M,Gilberto Rafael Ferreira,1989-03-04,Parda,2026-07-15,2026-07-15
434,4739f6d9,646.284.656-14,M,Rafael Oliveira,1965-08-08,Preta,2026-07-15,2026-07-15
435,f2fc7978,410.513.385-56,U,Dani Ariel Jo Cardoso,1960-05-25,Amarela,2026-07-15,2026-07-15
436,843a6434,798.797.268-27,M,Ricardo Moreira,1981-05-10,Amarela,2026-07-15,2026-07-15
437,6b3185b0,659.868.222-84,F,Jéssica Letícia Lopes,1986-01-09,Amarela,2026-07-15,2026-07-15
438,3f26afe9,645.633.450-82,M,Márcio Caio Santos,1970-12-03,Amarela,2026-07-15,2026-07-15
439,3a892016,518.841.875-32,M,Fábio Rocha,1983-08-07,Amarela,2026-07-15,2026-07-15
440,e5de85ed,309.152.421-77,F,Mariana Jaqueline Luciana Oliveira,1960-02-04,Branca,2026-07-15,2026-07-15
441,d2c89978,236.546.486-32,U,Dani Andy Beni Cavalcanti,1992-05-29,Preta,2026-07-15,2026-07-15
442,7f1bca00,895.784.539-35,F,Amanda Ana Farias,1962-12-26,Branca,2026-07-15,2026-07-15
443,28741ecd,196.433.632-61,U,Dani Jan Batista,1970-10-18,Preta,2026-07-15,2026-07-15
444,e1ef9e27,754.264.888-28,U,Isa Ariel Nani Almeida,1998-07-09,Parda,2026-07-15,2026-07-15
445,9ac47356,826.562.897-83,M,Alexandre Roberto Elias Martins,1964-06-27,Parda,2026-07-15,2026-07-15
446,2df8b6f4,489.542.545-77,F,Patrícia Dias,1996-05-20,Amarela,2026-07-15,2026-07-15
447,81e8c0b2,397.293.362-29,U,Acyr Sam Coelho,2002-08-11,Parda,2026-07-15,2026-07-15
448,f1b7fa05,879.733.124-98,M,Elias Márcio Peixoto,1960-06-09,Branca,2026-07-15,2026-07-15
449,b5297bc8,652.412.644-58,M,Lucas Ricardo Barbosa,1985-07-21,Preta,2026-07-15,2026-07-15
450,9efecf41,514.553.261-48,M,César Lopes,1990-06-22,Preta,2026-07-15,2026-07-15
451,5424e422,646.823.221-86,F,Maria Freire,1994-12-30,Preta,2026-07-15,2026-07-15
452,1660b00e,381.191.645-25,U,Noa Leite,1963-08-01,Branca,2026-07-15,2026-07-15
453,49fdea5f,290.752.513-40,U,Tony Luan Luan Rocha,1975-08-19,Amarela,2026-07-15,2026-07-15
454,c578c38f,301.726.154-87,F,Carla Zilda Zilda Farias,1977-12-10,Branca,2026-07-15,2026-07-15
455,0c8d5faf,112.235.767-47,F,Flávia Carla Larissa Farias,1972-04-23,Branca,2026-07-15,2026-07-15
456,41de2524,546.696.363-15,F,Eduarda Aline Barbosa,1980-08-10,Amarela,2026-07-15,2026-07-15
457,1b30b584,653.348.786-70,M,Sérgio José Ribeiro,1972-06-05,Parda,2026-07-15,2026-07-15
458,6f28469e,263.555.846-91,F,Daniela Cristiane Carvalho,1983-04-10,Preta,2026-07-15,2026-07-15
459,8219a70f,789.358.540-12,F,Geovana Ramos,2002-04-23,Preta,2026-07-15,2026-07-15
460,bd47b713,661.176.866-76,U,Ariel Zion Dani Vieira,1998-09-03,Amarela,2026-07-15,2026-07-15
461,f6ab1ed5,178.880.661-90,U,Eli Gael Carvalho,1978-08-19,Branca,2026-07-15,2026-07-15
462,4363b8d6,737.615.121-38,F,Isabela Farias,1976-06-02,Parda,2026-07-15,2026-07-15
463,7579460a,545.792.288-91,M,Eduardo Paulo Matheus Vieira,2002-12-02,Branca,2026-07-15,2026-07-15
464,88707809,101.696.707-56,U,Ciel Noa Lua Ferreira,1986-07-13,Amarela,2026-07-15,2026-07-15
465,5ae61d1c,566.696.568-60,U,Yves Sol Sacha Coelho,1997-02-03,Preta,2026-07-15,2026-07-15
466,1b45906c,621.224.573-36,U,Sam Coelho,1990-03-27,Amarela,2026-07-15,2026-07-15
467,5dda7be3,886.822.846-22,M,Rodrigo Soares,1984-01-27,Parda,2026-07-15,2026-07-15
468,f12d0983,329.835.708-67,F,Jaqueline Elaine Vieira,1996-03-09,Parda,2026-07-15,2026-07-15
469,1a601f48,500.426.174-94,F,Flávia Vanessa Geovana Ribeiro,1993-05-22,Branca,2026-07-15,2026-07-15
470,b51ae2f1,500.857.116-29,U,Noa Joade Pinto,1961-01-30,Amarela,2026-07-15,2026-07-15
471,78871fd4,712.841.192-71,F,Cristiane Gabriela Borges,1966-12-10,Parda,2026-07-15,2026-07-15
472,f6e5fc4d,344.899.549-12,M,Márcio Martins,1963-10-26,Parda,2026-07-15,2026-07-15
473,1a1734da,167.204.112-10,F,Elaine Pinto,1998-09-07,Amarela,2026-07-15,2026-07-15
474,6780333b,608.710.455-73,U,Jan Ari Ariel Cavalcanti,1997-09-22,Branca,2026-07-15,2026-07-15
475,1242762d,835.643.476-67,F,Michele Paula Michele Ferreira,1974-11-14,Parda,2026-07-15,2026-07-15
476,6e76c557,860.875.235-39,U,Kai Nani Sol Castro,1999-10-06,Parda,2026-07-15,2026-07-15
477,f971e386,399.217.871-36,M,Leonardo Paulo Nogueira,1979-08-17,Amarela,2026-07-15,2026-07-15
478,baa42b46,806.883.358-97,M,Cláudio Felipe Fábio Moura,1973-10-27,Amarela,2026-07-15,2026-07-15
479,42da9878,473.584.714-65,F,Vanessa Borges,1990-01-03,Parda,2026-07-15,2026-07-15
480,4e431688,447.571.745-24,U,Jan Luan Isa Leite,1969-04-15,Parda,2026-07-15,2026-07-15
481,dac27e45,851.231.395-69,F,Débora Tatiane Aline Coelho,1964-05-19,Parda,2026-07-15,2026-07-15
482,d9c08140,592.142.850-94,M,Leandro Leonardo Vinícius Pinto,1973-09-06,Branca,2026-07-15,2026-07-15
483,112f9cab,796.292.171-46,F,Simone Amanda Yasmin Cavalcanti,1966-07-29,Preta,2026-07-15,2026-07-15
484,c6f703fc,862.154.668-51,M,Jorge José Henrique Machado,1999-11-24,Parda,2026-07-15,2026-07-15
485,c84a0390,870.357.853-34,M,Henrique Sales,1980-05-28,Parda,2026-07-15,2026-07-15
486,2c760828,390.523.898-42,U,Lori Mari Freitas,1965-06-03,Preta,2026-07-15,2026-07-15
487,3ea9a967,797.714.696-23,F,Jéssica Sales,1968-11-25,Parda,2026-07-15,2026-07-15
488,2b2175cd,215.429.302-21,M,Paulo Leandro Costa,1995-05-12,Branca,2026-07-15,2026-07-15
489,71b71dd4,672.288.744-62,F,Zilda Nayara Lopes,1977-08-03,Preta,2026-07-15,2026-07-15
490,c50cc14e,602.323.490-57,M,André Samuel Vieira,1965-04-09,Parda,2026-07-15,2026-07-15
491,088cc040,715.655.819-31,M,Bruno Gustavo Ferreira,1965-07-20,Parda,2026-07-15,2026-07-15
492,b755ebae,654.273.880-33,U,Eli Jaci Teixeira,1964-09-25,Preta,2026-07-15,2026-07-15
